 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
11472767;"CICLO ARTelier Comestible: Vía láctea";"4 euros (tanto niños como adultos)";"0";"1";"S,D";"9/10/2021;16/10/2021;30/10/2021;6/11/2021;13/11/2021;20/11/2021;27/11/2021;4/12/2021;11/12/2021;5/12/2021;12/12/2021;18/12/2021;7/11/2021;14/11/2021;21/11/2021;28/11/2021;3/10/2021;10/10/2021;17/10/2021;31/10/2021;";"2021-10-02 00:00:00.0";"2021-12-19 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8e6c9a1b9e0c710VgnVCM1000001d4a900aRCRD";"CICLO ARTelier Comestible: Vía láctea";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2de6c9a1b9e0c710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80ddc8acadd56610VgnVCM2000001f4a900aRCRD";"Espacio Abierto Quinta de los Molinos";"1,6";"CALLE";"JUAN IGNACIO LUCA DE TENA";"20";"SAN BLAS-CANILLEJAS";"EL SALVADOR";"28027";"446636";"4477644";"40.44774002225867";"-3.6292874542291638";"/contenido/actividades/Exposiciones";"";
11297614;"Ciclo Jóvenes Talentos del Centro Superior Katarina Gurska.";"";"1";"0";"";"";"2021-10-26 00:00:00.0";"2021-10-26 23:59:00.0";"19:00";"Concierto a cargo de solistas y agrupaciones de Grado Superior del Centro Superior de Música Katarina Gurska. Programa a determinar.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=69d3022a98cc6710VgnVCM2000001f4a900aRCRD";"Conciertos en el Centro Cultural Nicolás Salmerón";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ddcc94bdeec6f510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee4a1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Nicolás Salmerón (Chamartín)";"1";"CALLE";"MANTUANO";"51";"CHAMARTIN";"CIUDAD JARDIN";"28002";"442656";"4477714";"40.44810636195716";"-3.6762309620097398";"/contenido/actividades/Musica";"";
11483634;"Ciclo literario. Los autores tienen la palabra";"";"1";"0";"";"";"2021-10-25 00:00:00.0";"2021-10-25 23:59:00.0";"19:00";"Entrada libre hasta completar aforo. Dirigido por Basilio Rodríguez Cañada. Profesor, escritor, gestor cultural y editor.Se encargará de presentar y coordinar cada jornada.  Se recomienda confirmar asistencia mientras se mantengan las medidas sanitarias de limitación de aforo.  MILLS FOX EDGERTON (Estados Unidos). Profesor universitario, escritor, dramaturgo y poeta.(Nueva Inglaterra, EE.UU., 1931) es considerado por la crítica literaria uno de los filólogos y autores más relevantes de las letras hispanas de este último medio siglo. Desde su niñez mostró gran interés por el aprendizaje de diferentes idiomas y llegó a conocer diez de ellos, enamorándose especialmente del castellano para realizar sus creaciones artísticas. Se doctoró en Lenguas Románicas por la Princeton University. Fue catedrático de Lenguas Modernas en la Bucknell University durante treinta y tres años, veinte de los cuales los dedicó también a dirigir la Bucknell University Press. Actualmente es profesor emérito de esta universidad, donde una beca de estudio lleva su nombre. Es autor de más de una treintena de libros de diferentes géneros literarios (poesía, relato, novela y teatro). A pesar de su extensa y profunda formación políglota, se considera un escritor español de vocación.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6eb9d090f663c710VgnVCM2000001f4a900aRCRD";"Actividades en el Centro Cultural Sanchinarro";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e14499c9cbd16710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=12eb70618510f210VgnVCM1000000b205a0aRCRD";"Centro Cultural Sanchinarro (Hortaleza)";"1";"CALLE";"PRINCESA DE EBOLI";"29";"HORTALEZA";"VALDEFUENTES";"28050";"444469";"4482391";"40.49035310157377";"-3.655261744717257";"/contenido/actividades/RecitalesPresentacionesActosLiterarios";"";
11461491;"Ciencia ficción: el relato de las mujeres";"";"0";"0";"";"";"2022-03-29 00:00:00.0";"2022-03-29 23:59:00.0";"19:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a30e1e2c15cb710VgnVCM1000001d4a900aRCRD";"Ciencia ficción: el relato de las mujeres";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a040e1e2c15cb710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro de Cultura Contemporánea Conde Duque";"1";"CALLE";"CONDE DUQUE";"11";"CENTRO";"UNIVERSIDAD";"28015";"439759";"4475508";"40.42802889001877";"-3.710182353581842";"/contenido/actividades/ConferenciasColoquios";"";
11346047;"Cine de terror";"";"1";"0";"";"";"2021-10-29 00:00:00.0";"2021-10-29 23:59:00.0";"18:00";"Se acerca la noche más terrorífica del año y en Hontalbilla ya estamos preparándonos, hoy toca cine de terror, ¡ven y descubre de que peli se trata!.    Fecha y hora de celebración: viernes 29 de octubre de 18 a 20 horas  Plazas: hasta completar aforo  Inscripciones: Hasta completar plazas. Inscripciones en www.bit.ly/inscripcioncj";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7a6833b882128710VgnVCM1000001d4a900aRCRD";"Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Julio 2021";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d868027e7628d310VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=afc93331c9ee2210VgnVCM2000000c205a0aRCRD";"Centro Juvenil Hontalbilla (Fuencarral - El Pardo)";"0";"CALLE";"HONTALBILLA";"10";"FUENCARRAL-EL PARDO";"VALVERDE";"28034";"441474";"4482632";"40.49231828430878";"-3.6906342081203283";"";"/usuario/Jovenes";
11472743;"Cine en lata";"5 euros";"0";"0";"";"";"2021-11-14 00:00:00.0";"2021-11-14 23:59:00.0";"11:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5026c9a1b9e0c710VgnVCM1000001d4a900aRCRD";"Cine en lata";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8726c9a1b9e0c710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80ddc8acadd56610VgnVCM2000001f4a900aRCRD";"Espacio Abierto Quinta de los Molinos";"1,6";"CALLE";"JUAN IGNACIO LUCA DE TENA";"20";"SAN BLAS-CANILLEJAS";"EL SALVADOR";"28027";"446636";"4477644";"40.44774002225867";"-3.6292874542291638";"/contenido/actividades/CineActividadesAudiovisuales";"";
11492549;"Cine infantil: 'La familia Addams'";"";"1";"0";"";"";"2021-10-22 00:00:00.0";"2021-10-22 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=84d45c370af5c710VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=697c598d1351c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal La Elipa (Ciudad Lineal)";"1,6";"CALLE";"NUESTRA SEÑORA DEL VILLAR";"6";"CIUDAD LINEAL";"LA ELIPA";"28017";"444705";"4474959";"40.42342659084215";"-3.651841641389484";"/contenido/actividades/CineActividadesAudiovisuales";"/usuario/Niños";
11491061;"Cine mudo y primeros años del sonoro";"";"1";"0";"";"";"2021-11-24 00:00:00.0";"2021-11-24 23:59:00.0";"18:30";"En esta tercera sesión comenzaremos el recorrido (cronológico) por aquellos compositores que hay a lo largo de la historia de las bandas sonoras. Conoceremos su origen, puesto que empezaremos ya por la música utilizada en la época muda, y abordaremos las primeras músicas realizadas en del cine sonoro.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3ffaffd19c55c710VgnVCM1000001d4a900aRCRD";"Ciclo de conferencias 'Compositores de música cinematográfica: recorrido histórico'";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=547c197c0715c710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal José Hierro (San Blas-Canillejas)";"1,6";"CALLE";"MARIA SEVILLA DIAGO";"15";"SAN BLAS-CANILLEJAS";"ROSAS";"28022";"448214";"4476029";"40.433291625973624";"-3.6105662311927453";"/contenido/actividades/ConferenciasColoquios";"";
11424247;"Cine TPJ: Terror";"";"1";"0";"";"";"2021-10-22 00:00:00.0";"2021-10-22 23:59:00.0";"18:00";"En octubre en el Cine TPJ qué mejor que ver en la mejor compañía una buena película de terror. Vente y disfruta del cine más terrorífico.   Fecha y hora de celebración: ?Viernes 22 de octubre de 18:00 a 20:00 h.  Periodo de inscripción: Hasta completar plazas. Inscripciones en www.bit.ly/inscripcioncj    Plazas: 50% del aforo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9bd5a01dfc14a710VgnVCM2000001f4a900aRCRD";"Actividades en el centro juvenil 'Tetuán Punto Joven'. Julio 2021";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd0ad1ab503e1410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f9e41aee5a2a110VgnVCM1000000b205a0aRCRD";"Centro Juvenil Tetuán Punto Joven";"0";"CALLE";"DULCINEA";"4";"TETUAN";"CUATRO CAMINOS";"28020";"440651";"4477630";"40.447199849232135";"-3.6998771920981004";"";"/usuario/Jovenes";
11487833;"Cinefórum 'La condesa rebelde'";"";"1";"0";"";"";"2021-10-20 00:00:00.0";"2021-10-20 23:59:00.0";"18:00";"Con motivo del centenario del fallecimiento de Emilia Pardo Bazán, desde el ámbito comunitario del distrito Ciudad Lineal, realizaremos un ciclo de actividades en su honor.  Actividad en colaboración con Biblioteca Municipal Ciudad Lineal, Biblioteca Municipal La Elipa, Biblioteca Municipal Pablo Neruda y Unidad Distrital de Colaboración de Ciudad Lineal (Asociación El Olivar).    Exposición sobre obras y vida de doña Emilia Pardo Bazán   Del 18 al 22 de octubre, de 10 a 14 h y de 16:30 a 20:30 h.    Concurso literario 'Emilia Pardo Bazán y la libertad de las mujeres'   Entrega de premios: miércoles 20 de octubre, de 20 a 20:30 h   Cinefórum 'La condesa rebelde'   Miércoles 20 de octubre, de 18 a 20 h.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=47544d4407f4c710VgnVCM1000001d4a900aRCRD";"Centenario de Emilia Pardo Bazán en los Espacios de Igualdad";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=823a7bf166586710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=048525eae8975710VgnVCM2000001f4a900aRCRD";"Espacio de Igualdad Emilia Pardo Bazán. Ciudad Lineal";"1";"AVENIDA";"BADAJOZ";"60";"CIUDAD LINEAL";"SAN PASCUAL";"28027";"444580";"4477056";"40.442311100791215";"-3.6534806246311913";"/contenido/actividades/CineActividadesAudiovisuales";"";
